serial,description,meter,historical_matches
18-3643,1996 CATERPILLAR D8R PULL,1614.0,13
18-3844,1997 CATERPILLAR D8R PULL,10480.8,5
18-3845,1997 CATERPILLAR D8R PULL,2604.3,23
18-3846,2017 CATERPILLAR D8R,1225.2,24
18-3865,1995 CATERPILLAR D8N PULL,2203.1,19
18-3866,1995 CATERPILLAR D8N PULL,20504.1,10
18-3870,1996 CATERPILLAR D8R PULL,5481.1,20
18-3871,1996 CATERPILLAR D8R PULL,24373.9,22
18-3872,1996 CATERPILLAR D8R PULL,1940.7,24
18-3873,1996 CATERPILLAR D8R PULL,12.1,15
18-3912,1998 CATERPILLAR D8R PULL,2312.9,18
18-3913,1998 CATERPILLAR D8R PULL,N/A,25
18-3918,1998 CATERPILLAR D8R PULL,1178.4,20
18-3919,1998 CATERPILLAR D8R PULL,667.0,15
18-4382,CAT D8 PULL TRACTOR,425.0,8
18-4436,1999 CATERPILLAR D8R PULL,2665,18
18-5494,2003 CATERPILLAR D8RII PULL,3350,21
18-5658,1998 CATERPILLAR D8R PULL,4094.7,12
18-5659,2004 CATERPILLAR D8RII PULL,4384.2,23
18-5669,2004 CATERPILLAR D8RII PULL,14937.8,21
18-5680,CAT D8 PULL TRACTOR,1603.1,1
18-5773,2004 CATERPILLAR D8RII PULL,N/A,16
18-5860,CAT D8 PULL TRACTOR,1577.3,4
18-598,ARM FOR D8,N/A,1
18-6015,2004 CATERPILLAR D8RII PULL,3699.1,20
18040,CHEVY PICK UP,N/A,1
1817N001,MT28 SCRAPER,N/A,1
184,BUCKET,N/A,1
19,20' CONEX,N/A,1
19-4873,2000 CATERPILLAR D9R,17326.3,4
19-4873R,CAT D9 DOZER(NO BLADE),15075.0,1
1DW460EBCMF710497,JOHN DEERE 460E HAUL TRUCK,888.9,1
1DW460EBPMF711314,JOHN DEERE 460E TRUCK,815.7,1
1DW524LZALF708166,JOHN DEERE 524L 4WD LOADER,710.4,1
1DW544LHLKF701798,JOHN DEERE 544 LOADER,3511.7,1
1DW544LZELF708246,JOHN DEERE 544K,244.9,1
1DW624PAJPLA21218,JOHN DEERE 624P LOADER,469.0,2
1DW624PALRLA21521,JOHN DEERE 624 W BKT,501.7,1
1DW624PAPRLA22143,JOHN DEERE 624P LOADER,7.7,2
1FDNF6AY5GDA05396,FORD F650 DUMP,17787,1
1FF035GXCNK30,JOHN DEERE 35 MINI,25.6,1
1FF035GXJNK299507,JOHN DEERE 35 MINI,5.7,2
1FF035GXVMK296040,JOHN DEERE 35G,4.1,1
1FF050PACPH000687,JOHN DEERE 50 MINI,N/A,2
1FF050PAEPH000969,JOHN DEERE MINI 50,N/A,2
1FF075GXCNJ018076,JOHN DEERE 75G,4.2,1
1FF135PAAPF000369,JOHN DEERE 135P-TIER,77.4,1
1FF160PAAPF000169,JOHN DEERE 160 EXCAVATOR,293.0,1
1FF190GWPNF052183,JOHN DEERE 190G W RUBBER TIRES,57.7,1
1FF245PACPF000363,JOHN DEERE 245P HYDRAULIC EXCAVATOR,6.2,1
1FF245PALPF000380,JOHN DEERE 245 P,775.7,2
1FF24SPAJPF000983,JOHN DEERE 245 EX,202.4,1
1FF250PAVPF000095,JOHN DEERE 250 EX,101.6,2
1FF345GXLKF020626,JOHN DEERE 345G LC,1450.4,2
1FF350GXALF814347,JOHN DEERE 35G EXCAVATOR,3268.7,1
1FF350GXEKF813461,JOHN DEERE 350G,949.0,1
1FF350PAHRF001792,JOHN DEERE 350P,11.1,2
1FF350PAPNF000030,JOHN DEERE 350,158.0,1
1FF350XALF814347,JOHN DEERE 350,3293.9,1
1FF470GXAMF236864,JOHN DEERE 470G,1221.7,1
1FF470PATPF000206,JOHN DEERE 470 EX,300.1,2
1FFA470PATPF000206,JOHN DEERE 470 EX,335.9,1
1FFDDP70CHF84018,HITACHI ZX300LC-6N,1659.0,1
1FFDDP70CHF840180,HITACHI,N/A,3
1GN00774,CAT 815 COMPACTOR,11124.8,1
1R0850LXPPF455299,JOHN DEERE CRAWLER DOZER 850L,7.4,1
1RW9540DTNC06023,JOHN DEERE 9R540,N/A,1
1RW9570RELE809828,JOHN DEERE 9570RX,3.7,1
1RW9590DCNC075840,JOHN DEERE 9R590 TRACTOR,4.0,1
1RW9590DCNL820562,JOHN DEERE 9RX590,3.3,1
1RW9590DHNC075480,JOHN DEERE 9570 TRACTOR,1.9,1
1RW9590DKPL822330,JOHN DEERE 9RX590,6,1
1RW9590DKPL822506,JOHN DEERE 9RX590,3.2,1
1RW9590DVPL822381,JOHN DEERE 9RX590,3,1
1T0310LXVNF431643,JOHN DEERE 310LX,900,1
1T0333GMCPF447516,JOHN DEERE 333G,3.3,1
1T0650KKHNF417110,JOHN DEERE 650K,5.6,1
1T0650PAARLX06539,2024 JOHN DEERE 650P,88.1,1
1T0650PAVPLX02065,JOHN DEERE 650 CRAWLER DOZER,178.6,2
1T0750LXJMF408719,JOHN DEERE 750K,48.6,2
1T0850LXPPF455299,2023 JOHN DEERE CRAWLER DOZER 850L,8.2,1
1T0SMGRLAR0000035,2025 JOHN DEERE 850X CRAWLER DOZER,85.6,1
1T82412ECND222010,JOHN DEERE 2412DE,N/A,1
1T82412EPND422016,JOHN DEERE 2412DE,N/A,1
1T8412ETND222008,JOHN DEERE 2412DE SCRAPE 2TR,N/A,1
1TO310LXVNF431643,JOHN DEERE 310LX,900.0,1
1VR2152E391000125,VERMEER ROCK WHEEL,2670.0,1
1VR9112MXJ1003204,VERMEER RTX750,253,1
1VRR1008PN1001205,PIER DRIVER VERMEER,893,1
2 DIPPER STICKS(SPARE PARTS),2 DIPPER STICKS(SPARE PARTS),N/A,1
20085,CAT 325,4476,1
2031,HITACHI 85 MINI BH,445,1
20319,CAT 316 EX,1699.0,1
20687,JD 85 MINI,725,2
208205,CAT D5,376.0,1
20893,CAT 316,415,1
20ESPI,CAMECO PAN,N/A,1
20W2458,BUCKET,N/A,2
20W2740,BOBCAT LANDPLANE,N/A,1
20W4130,BUCKET,N/A,2
21-0435,VOLVO 340 EXCAVATOR,2096.0,1
21-3635,BUCKET,N/A,1
21-6159,10X24 TRENCH BOX,N/A,1
21-6171,JOHN DEERE 2412 PAN,N/A,1
21-9435,VOLVO 340 BH,2036.0,1
210672,VOLVO 220 BH,4236,2
212RA,BUCKET,N/A,1
212RA1,BUCKET,N/A,5
212RA1843,CAT 308 MINI BUCKET,N/A,1
212RA1876,ATTACMENTS,N/A,1
21411,JOHN DEERE 624 LOADER,1021,1
214RA202,CATERPILLAR FORKS & ON-SITE MOVES,N/A,1
215111,JOHN DEERE 2412 PAN,N/A,2
21833,JD 85 MINI,187.6,1
218670-01,BUCKET,N/A,1
22-1001,JOHN DEERE 2412 SCRAPER PAN,N/A,2
22-430,JOHN DEERE MINI BH,20.0,1
222N433,CATERPILLAR 317,1301.9,1
222RA2030,RENTAL MINI BUCKET,N/A,2
224NA125,CATERPILLAR 908 FORKS,N/A,1
2269,VOLVO A45,564,1
22M04963,CATERPILLAR CS56,228.2,1
22WO3012,SWEEPER ATTACHMENT,N/A,1
23-2268,MEISER BOX,N/A,2
23-6619,JOHN DEERE 470 BH,11.4,3
2319R2163,FREIGHTLINER WATER TRUCK,349.3,1
236238,JOHN DEERE 470 EX,1186.0,2
236583,ROLLER,363,1
24-294,DYNAPAC,98.0,1
24255,RENTAL JOHN DEERE 524 LOADER,453,1
244N323,CATERPILLAR 908 (DEMO),3,1
2529,FORD F250 (CECCHIN),55330,2
252RA2738,RENTAL MINI BUCKET,N/A,1
25332,VOLVO L90 LOADER,82,1
255643,PUMP,N/A,1
255664,TAN-WEIR FLIP TOP UNCTD,N/A,1
256434,"AMERICAN PUMP 6"" VAC ASSIST DIESEL",60.50,1
257980,FRACK TANK,N/A,1
261392,FILTER MEDIA 48-4 SK MANWAY,N/A,1
264285-01,BUCKET,N/A,1
27-10182,2011 CATERPILLAR 140M2 AWD,7192,9
27-1069,2019 CATERPILLAR140M AWD,4233.0,1
27-10697,2009 CATERPILLAR 140M AWD,4232.0,2
27-1087,CAT 140 GRADER,4780.0,1
27-13883,1995 CATERPILAR 160H,1460.1,4
27-13885,2001 CATERPILLAR 160HNA,10461,3
27-14872,2011 CATERPILLAR 140M2 AWD,3553.8,7
27-3314,1976 CATERPILLAR 16G GRADER,N/A,7
27-6476,1991 CATERPILLAR 16G GRADER,203.0,4
27365231,BUCKET,N/A,1
28-00398,MT28 SCRAPER,N/A,1
28-00408,MT28 SCRAPER,N/A,1
28-7366,JOHN DEERE MINI BH,775.1,1
28-8708,HITACHI 50 MINI,207.1,1
289655,EXCAVATOR 50G,379.5,1
292105,JD MINI BH,124.2,2
292987,JD MINI BH,20,1
2930839,TELEHANDLER,142,1
295-5954,BUCKET,N/A,1
2B71828,BOMAG ROLLER RENTAL,284.2,1
305724-71,ATTACMENTS,N/A,1
311733-01,BUCKET,N/A,1
314428,VOLVO EC140E,1061.9,1
3154,PLATE COMPACTOR,N/A,1
317323-01,BUCKET,N/A,1
319181,ATTACHMENT,N/A,1
326 TRACKS NO #,326 TRACKS,N/A,1
326 TRACKS-NO #,CATERPILLAR 326 TRACKS,N/A,1
33-10156,2003 CATERPILLAR 725 WATER TRK,10319.4,7
33-10409,2006 CATERPILLAR 725 H20 TRUCK,9223,6
33-1056,CAT 725 WATER TRUCK,10515,1
33-10598,CATERPILLAR 725 WATER TRUCK,9737.3,1
33-11420,CAT 725 DUMP TRUCK,8954.8,2
33-12263,2005 CATERPILLAR 725 WATER WATER TRK,9997.0,4
33-1237,1967 TEREX TS14 H20 H20 TANK,1149.0,4
33-12998,2019 KIEIN KPT-120,N/A,1
33-13282,2004 CATERPILLAR 725 WW WATER TRK,7474,13
33-13677,2007 CATERPILLAR 725 WW H20 TRUCK,1452.0,1
33-14175,2014 CATERPILLAR 730 WW,4933.0,1
33-14481,2009 CATERPILLAR 740 WW WATER TRK,9351.4,4
33-14484,2016 CATERPILLAR 740WW WATER TRK,18075.4,2
33-14490,2013 CATERPILLAR 725WW,11380,3
33-15-87,MT 3550 QUADTRAC,3560.0,1
33-15098,2004 CATERPILLAR 725 WATER(NO DUMP BOX),9849,4
33-15117,2004 CATERPILLAR 125 WATER,13062.9,3
33-15118,2004 CATERPILLAR 125 WATER,21149.1,1
33-15177,2004 CATERPILLAR 725 WATER,"13,152.5",1
33-16377,CATERPILLAR 725 WATER TRUCK,"14,125",1
33-3849,1967 TEREX TS14 H20,4390.0,5
33-4068,1979 TEREX TS14 H20 TANKER,1659.0,10
33-406I,TEREX WATER WAGON,1652.0,1
33-5259,CALUMET TANK,N/A,1
33-5332,2002 CALUMET V-4500 TANK,N/A,6
33-5952,2004 CALUMET V-3750 TANK,N/A,6
33-9598,CAT 725 WATER TRUCK,10473.9,5
33-9655,2007 CATERPILLAR 725 H20 TRUCK,7935,1
34-01037,CAT 615 COMPACTOR,2483.9,1
34-10137,2001 CATERPILLAR 140M2 AWD,2483.9,7
34-10178,VOLVO A40 TRUCK,8072.0,1
34-1078,VOLVO 840 DUMP TRUCK,8238.0,1
34-13767,2021 CATERPILLAR 627K 3D,486.7,5
34-13768,2021 CATERPILLAR 627K 3D,7478.0,5
34-13954,CATERPILLAR 627H,5447.2,3
34-13956,CATERPILLAR 627H,4720.0,2
34-14213,2018 CATERPILLAR 627K,4106.7,1
34-14214,2018 CATERPILLAR 627K,4381,1
34-2431,VOLVO A45 DUMP TRUCK,2825.0,1
34-6837,CAT 627 SCRAPER,2246,3
34-6878,2006 CATERPILLAR 627G II,167.1,1
34-6879,2006 CATERPILLAR 627G II,722.6,14
34-6880,2006 CATERPILLAR 627G II,1258,15
34-6902,2006 CATERPILLAR 627G II,790.3,12
34-6904,2006 CATERPILLAR 627G II,1824.7,17
34-7312,2006 CATERPILLAR 627G II,N/A,19
34-7420,2006 CATERPILLAR 627G II,9777.7,18
34-74203205,CAT 627,7054.6,1
34-7424,2006 CATERPILLAR 627G II,8863.6,22
34-7425,2007 CATERPILLAR 627G II,9458.2,19
34-7426,2007 CATERPILLAR 627G II,N/A,14
34-7427,2007 CATERPILLAR 627G II,10250.7,12
34-7428,2007 CATERPILLAR 627G II,9125.1,10
34-7429,2007 CATERPILLAR 627G II,10076.6,12
341661,VOLVO A45,5692.0,1
342238,VOLVO A40G,7014.0,1
35-2116,VOLVO A40,1808,1
35-2183,VOLVO A45 DUMP TRUCK,931.0,1
35-2269,VOLVO A40,734.0,1
35-2271,VOLVO A45 DUMP TRUCK,768.0,1
352137,VOLVO A45 DUMP TRUCK,583,2
352269,VOLVO A45,1255.0,1
352271,VOLVO A45 DUMP TRUCK,536.4,1
352447,VOLVO A45 DUMP TRUCK,6,1
36-2724,JOHN DEERE 650K DOZER,810.0,2
36-4047,JOHN DEERE 333 SKIDSTEER,67.6,1
36-6902,2006 CATERPILLAR 627G II,10925.2,1
36-6904,2006/Caterpillar/627G II,2055.7,1
362724,JOHN DEERE 650 DOZER,844.5,1
3630SBW01342,MTS 3630 TRACTOR,349,1
3630T01339,MOBILE TRACK SOLUTION 3630,9.15,1
364077,JD 333G,428.5,6
366384-01,ATTACHMENT,N/A,1
369586,SKIDSTEER,253.3,1
37-0116,BUCKET,N/A,1
37-0752,SKIDSTEER,801.7,1
37-7420,2006 CATERPILLAR 627G II,9698,1
37-7425,2007 CATERPILLAR 627G II,7611.4,1
370330,BUCKET,N/A,1
370574,624 BUCKET,N/A,1
387810,333G SKIDSTEER,1.7,3
39-3220,JOHN DEERE TRACK LOADER,23.1,2
3ALACWFC1LDLH4905,WATER 2000 TRUCK,282.0,1
3ALHCYFC7PDNY2887,WATER TRUCK,22.9,1
3ALHCYFCOPDNY2892,WATER TRUCK,N/A,2
3C7WRNFLXNG161895,DODGE 5500 RAM,65.0 (MILES),1
40-5109,SKID-STEER,100.00,1
4096,JOHN DEERE DOZER,77.0,1
41 - 12413,JOHN DEERE 2412 SCRAPER PAN,N/A,1
41-11873,2018 MOBILE TRACK SOLUTION MT-28,N/A,16
41-11874,2018 MOBILE TRACK SOLUTION MT-28,N/A,9
41-11875,2018 MOBILE TRACK SOLUTION MT-28,N/A,18
41-11876,2018 MOBILE TRACK SOLUTION MT-28,N/A,13
41-11959,2018 MOBILE TRACK SOLUTION MT-28,N/A,10
41-11976,2018 MOBILE TRACK SOLUTION MT-28,N/A,13
41-12319,MT 28 PAN,N/A,1
41-12349,JOHN DEERE 2412 SCRAPER PAN,N/A,1
41-12408,2019 MOBILE TRACK SOLUTION MT-28,N/A,9
41-12409,2019 MOBILE TRACK SOLUTIONS MT-28,N/A,8
41-12414,JOHN DEERE 2412 SCRAPER PAN,N/A,1
41-12617,MT SCRAPER,N/A,1
41-12716,2017 MOBILE TRACK SOLUTION MT-28,N/A,20
41-12717,2017 MOBILE TRACK SOLUTION MT-28,N/A,14
41-12726,MT 28 SCRAPER,N/A,1
41-12727,2017 MOBILE TRACK SOLUTON MT-28,N/A,1
41-13218,2017 MOBILE TRACK SOLUTION MT-28,N/A,10
41-13219,2018 MOBILE TRACK SOLUTION MT-28,N/A,6
41-13261,2017 MOBILE TRACK SOLUTION MT-28,N/A,14
41-13262,2017 MOBILE TRACK SOLUTION MT-28,N/A,8
41-13275,KOKUDO SB23 PULL PAN,N/A,8
41-13276,KOKUDO SB23-H PULL PAN,N/A,7
41-13277,KOKUDO SB23-H PULL PAN,N/A,8
41-13278,CATERPILLAR 612B-P PULL SCRPR,N/A,9
41-13281,MT 28 SCRAPER PAN,N/A,1
41-13295,1985 RWF INDUSTRIES 63F,N/A,8
41-13377,KUKOTO SCRAPER,N/A,1
41-13526,2019 BOMAG BW211AD-5,675.0,1
41-13608,2019 JOHN DEERE 2412DE,N/A,1
41-13674,2019 MOBILE TRACK SOLUTION MT-23-28,N/A,9
41-13749,2018 MOBILE TRACK SOLUTION MT-23-28,N/A,12
41-13766,2017 MOBILE TRACK SOLUTION MT-28,N/A,4
41-13826,2019 MOBILE TRACK SOLUTION MT-28,N/A,3
41-13827,2020 MOBILE TRACK SOULUTION MT-28,N/A,5
41-13900,2017 MOBILE TRACK SOLUTIONS MT-28,N/A,8
41-13972,2017 K-TEC 1237,N/A,2
41-13973,2017 K TEC 1237,N/A,1
41-14007,2022 K-TEC 1228,N/A,1
41-14099,1989 CATERPILLAR 621E-P PULL SCRPR,17170.0,1
41-14112,2019 BOMAG BW211D-5,576.2,1
41-14208,MTS 28 SCRAPER,N/A,1
41-14209,2022 JOHN DEERE 2412DE,N/A,1
41-14233,2022 JOHN DEERE 2412DE,N/A,1
41-14312,2022 JOHN DEERE 2412DE,N/A,2
41-14397,REYNOLDS R89H,N/A,7
41-14398,REYNOLDS R89H,N/A,14
41-14399,REYNOLDS R89H,N/A,11
41-14576,2022 K-TEC 1228,N/A,3
41-14577,K TECH 1228 PAN,N/A,1
41-2626,1976 ROME R89H PARTS,N/A,7
41-2627,1976 ROME R89H SCRAPPER,N/A,11
41-2629,1976 ROME R89H JD PULL,N/A,14
41-2696,1985 ROME R89H JD PULL,N/A,13
41-2697,1985 ROME R89H JD PULL,N/A,21
41-2698,1983 ROME R89H JD PULL,N/A,18
41-2915,1975 ROME R89H JD PULL,N/A,1
41-3050,ROME R89H JD PULL,N/A,14
41-3051,ROME R89H CAT PULL,N/A,11
41-3052,ROME R89H,N/A,23
41-3123,1989 CATERPILLAR 825C COMPACTOR,23310.0,1
41-3139,ROME R89H JD PULL,N/A,11
41-3140,ROME R89 CAT PULL,N/A,16
41-3218,MTS 28 SCARPER,N/A,2
41-3280,1989 ROME R89H CAT PULL,N/A,22
41-3281,1989 ROME R89H CAT PULL,N/A,25
41-3286,1989 ROME R89H CAT PULL,N/A,10
41-3319,ROME R89H JD PULL,N/A,16
41-3566,ROME R89H JD PULL,N/A,16
41-4155,1976 ROME R89H JD PULL,N/A,15
41-4254,1988 ROME R89H CAT PULL,N/A,19
41-4475,ROME R89H CAT PULL,N/A,19
41-4697,ROME 89 SCRAPER PAN,N/A,1
41-4807,ROME 89 SCRAPER PAN,N/A,1
41-4867,ROME R89H,N/A,8
41-48676,ROME PAN,N/A,1
41-5014,ROME PAN,N/A,1
41-5040,ROME R89H CAT PULL,N/A,13
41-5041,ROME R89H CAT PULL,N/A,19
41-5434,ROME R89H JD PULL,N/A,22
41-5441,2003 ROME R89H JD PULL,N/A,24
41-5442,ROME 89 SCRAPER PAN,N/A,5
41-5443,2003 ROME R89H JD PULL,N/A,13
41-5444,ROME 89 SCRAPER PAN,N/A,15
41-5445,2003 ROME R89H SCRAPER,N/A,19
41-5446,2003 ROME R89H SCRAPER,N/A,13
41-54482,MT28 PAN,N/A,1
41-5511,CAT 825 COMPACTOR,7408,1
41-5680,ROME PAN,N/A,2
41-5681,ROME 89 SCRAPER PAN,N/A,6
41-5682,2004 ROME R89H CAT PULL,N/A,12
41-5683,2004 ROME R89H JD PULL,N/A,16
41-5684,2004 ROME R89H SCRAPER,N/A,13
41-5685,2004 ROME R89H CAT PULL,N/A,9
41-5686,2004 ROME R89H JD PULL,N/A,14
41-5687,2004 ROME R89H CAT PULL,N/A,20
41-5688,2004 ROME R89H SCRAPER,N/A,6
41-5689,2004 ROME R89H JD PULL,N/A,17
41-5852,ROME DISC,N/A,1
41-586,ROME 89 SCRAPER PAN,N/A,1
41-5869,ROME PAN,N/A,1
41-6210,ROME DISC,N/A,1
41-6617,1989 ROME R89H CAT PULL,N/A,14
41-9028,JOHN DEERE 2412 SCRAPER PAN,N/A,1
41168,CATERPILLAER KLEIN K-500 WATER WAGON,14130.7,1
413084,BROCE RCT 350,N/A,1
42-10133,HOLMES 16E ROLL BLADE,N/A,9
42-10134,ROLLER BLADE,N/A,1
42-10762,HOLMES 16D ROLL BLADE,N/A,10
42-10781,ROLLER BLADE,N/A,1
42-10871,ROLLER BLADE,N/A,1
42-1192,HOLMES 16F,N/A,1
42-11921,HOLMES 16F,N/A,7
42-11997,2018 HOLMES 16F,N/A,5
42-12387,2016 HOLMES 16F,N/A,1
42-12388,2019 HOLMES 16F,N/A,15
42-12488,ROLLERBLADE,N/A,1
42-13301,2021 HOLMES 16F,N/A,7
42-13302,2021 HOLMES 16F,N/A,8
42-14331,2022 HOLMES 16F,N/A,6
42-14404,2016 HOLMES PF2-4848,N/A,1
42-15634,ROLLER BLADE,N/A,2
42-15635,HOLMES 16F,N/A,4
42-15636,ROLLER BLADE,N/A,2
42-6241,2005 HOLMES 16' RLR BLADE,N/A,14
42-6787,2006 HOLMES 16' RLR BLADE,N/A,9
4206-1,FORKS,N/A,1
422014,RENTAL JOHN DEERE 2412 PAN,N/A,1
42785,JOHN DEERE 333 SKIDSTEER,429.9,2
43-11921,ROLLER BLADE,N/A,2
4302999,40' CONTAINER,N/A,1
44 11006,CAT CS56 ROLLER,5199,1
44-10344,CAT CS56 ROLLER,2509.8,1
44-10394,2009 CATERPILLAR CS56 ROLLER,2981.5,11
44-10415,2011 CATERPILLAR CS56 W/SHELL KIT,N/A,25
44-11006,2011 CATERPILLAR CS56 ROLLER-CAB,N/A,55
44-11015,2013 CATERPILLAR 815F2 COMPACTOR,5353.9,5
44-11038,2008 CATERPILLAR CP56 ROLLER-CAB,4397,6
44-11163,2011 CATERPILLAR CS56 ROLLER-CAB,N/A,32
44-11346,CAT CP56 ROLLER,2751.1,3
44-11523,2005 CATERPILLAR 815F,7458.1,14
44-11600,2006 CATERPILLAR CS563E ROLLER,N/A,18
44-11623,2015 CATERPILLAR 815 F2,3342.7,13
44-11863,2011 CATERPILLAR CS56 W/CAB,N/A,13
44-11976,CAT 815 COMPACTOR,11329.0,1
44-12141,2008 CATERPILLAR 815F2,1316.2,26
44-12180,2008 CATERPILLAR CS56 W/SHELL KIT,526.7,26
44-12289,CAT ROLLER,N/A,1
44-12304,2015 CATERPILLAR CS56B W/CAB,N/A,38
44-12513,BOMAG ROLLER,535.6,5
44-12593,ROLLER,3721.4,6
44-12683,2012 CATERPILLAR 815F2,7602.5,23
44-12688,CAT 815 COMPACTOR,5565.0,1
44-12793,ROLLER,2813.0,1
44-12889,2020 CATERPILLAR CS56B,1764.5,8
44-12973,2011 CATERPILLAR CS56 W/SHEEL KIT,N/A,24
44-13031,BOMAG BW211D-5,416.9,1
44-13051,2009 CATERPILLAR CP56 ROLLER-CAB,N/A,52
44-13220,CAT 815,2439.3,1
44-13226,1984 CATERPILLAR 815B COMPACTOR,3237,27
44-13231,2010 CATERPILLAR CS56,N/A,53
44-13274,2015 CATERPILLAR CS56B,3435.0,29
44-13432,2020 CATERPILLAR CP56B,336.4,3
44-13501,CAT CP56 PAD ROLLER,2989.0,1
44-13526,2019 BOMAG BW211 AD-5,646.8,1
44-13995,2018 DYNAPAC CA2500PD,718.0,5
44-14103,2015 DYNAPAC CA1300,N/A,2
44-14112,2019 BOMAG BW211D-5,533.8,2
44-14114,2019 BOMAG BW211AD-5,565.8,7
44-14184,2014 HAMM H11Ii,2226.0,1
44-14186,2022 BOMAG BW211AD-5,342.1,4
44-14210,2019 CATERPILLAR 815K COMPACT CONTROL COMPACTOR,969.3,2
44-14363,2022 3 BOMAG BW211AD-5,N/A,6
44-14600,2023 BOMAG BW211D-5,36,8
44-14639,2023 BOMAG BW211D-5,11.5,3
44-14715,2023 DYNAPAC CA 1500PD,6,1
44-14723,CATERPILLAR CP56B,1305.5,2
44-14724,CATERPILLAR CP56B,1044.8,4
44-14757,2023 BOMAG BW211D-5,502.8,3
44-14780,2023 BOMAG BW211D-5,N/A,2
44-1486,2022 BOMAG BW211AD-5,355.2,1
44-14869,2023 BOMAG BW211D-5,23.2,3
44-14876,2018 CATERPILLAR CP56B,1185,1
44-15329,2024 CATERPILLAR CP44,13.6,1
44-15382,BOMAG BW177D-5,95.8,1
44-15396,2015 CATERPILLAR 815F2,6866.2,7
44-15405,CATERPILLAR CS56 ROLLER,1716.0,1
44-15408,2023 CATERPILLAR CS56B,686.0,1
44-15492,2024 CATERPILLAR CS563E,.07,1
44-15944,2025 BOMAG BW211D-5,41,4
44-16086,2024 BOMAG BW211D-5,136.2,1
44-16130,CAT 815 COMPACTOR,25.9,1
44-16165,2023 BOMAG BW211PD-5,290.9,1
44-16173,2025 BOMAG BW211D-5,1099,2
44-16221,2006 CATERPILLAR CS563E,3639.4,5
44-1640,1975 CATERPILLAR 815 COMPACTOR,2430.4,7
44-1768,CAT 815 COMPACTOR,3942,2
44-2061,624 FORKS,N/A,1
44-2626,ROME 89,N/A,1
44-2889,2020 CATERPILLAR CS56B,1739.9,1
44-2933,1975 CATERPILLAR 815 COMPACTOR,7483.6,17
44-3056,1989 CATERPILLAR 825C COMPACTOR,12585.0,7
44-3123,1989 CATERPILLAR 825C COMPACTOR,2436.5,14
44-3382,1989 CATERPILLAR 825C COMPACTOR,17435.5,13
44-3473,CAT 825 COMPACTOR,4636.7,6
44-3848,1997 CATERPILLAR 815F,294.5,7
44-3874,1993 CATERPILLAR 825C COMPACTOR,23716,11
44-3875,1993 CATERPILLAR 825C COMPACTOR,21202.4,12
44-3914,1997 CATERPILLAR 815F COMPACTOR,5407.2,11
44-4631,20' CONTAINER,N/A,1
44-4900,2000 CATERPILLAR 815F COMPACTOR,126278,14
44-4901,2000 CATERPILLAR 815F COMPACTOR,347.2,11
44-4904,CAT 815 COMPACTOR,1123.8,1
44-4905,2000 CATERPILLAR 815F COMPACTOR,12435.4,9
44-5464,2003 CATERPILLAR 815F COMPACTOR,11098.9,12
44-551,CAT 825 COMPACTOR,7542.1,1
44-5511,1988 CATERPILLAR 826C COMPACTOR,8188.4,9
44-5714,CAT 825 COMPACTOR,7202.6,2
44-6182,1983 CATERPILAR 825C COMPACTOR,2114,12
44-6184,1973 CATERPILLAR 815A COMPACTOR,3937.2,16
44-6185,1974 CATERPILAR 815A COMPACTOR,N/A,21
44-9597,2006 CATERPILLAR CP563E ROLLER,3062,43
449597,CAT CP56 ROLLER,342.9,1
45-13393,HAND COMPACTOR,N/A,1
45-13394,HAND COMPACTOR,N/A,1
45-15248,2021 WACKER NEUSON DPU 5545,N/A,1
45-15624,MISC FLAT BUCKETS,N/A,2
45-15673,2023 WACHER NEUSON DPU6555,N/A,1
47-10134,ROME TAW20-28 DISC,N/A,13
47-11157,MOBILE TRACK SOLUTION MT-13X38,N/A,7
47-13185,DISC,N/A,1
47-13194,1999 REMCO MCW 16-36,N/A,7
47-13195,2001 REMCO MCW 16-36,N/A,8
47-13196,2005 REMCO MCW 16-36,N/A,19
47-2530,ROME TRCS 12-36 DISC,N/A,7
47-2904,CHISEL PLOW,N/A,3
47-3569,1996 REMCO MCW 16-36 DISC,N/A,17
47-3570,1996 REMCO MCW 16-36 DISC,N/A,17
47-3750,DISC,N/A,1
47-4170,1998 REMCO MCW 16-36 DISC,N/A,8
47-4839,2000 REMCO MCW 16-36 DISC,N/A,16
47-5404,2003 ROME TRCW 16-36 DISC,N/A,10
47-5570,ROME DISC,N/A,1
47-5769,1992 REMCO MCW 16-36 DISC,N/A,8
47-5770,1992 REMCO MCW 16-36 DISC,N/A,14
47-5803,2004 ROME ARCW 16-36 DISC,N/A,12
47-5851,REMCO MCW 16-36 DISK,N/A,1
47-5852,2004 ROME ARCW 16-36 DISC,N/A,2
47-6210,2005 REMCO MCW 16-36 DISC,N/A,13
47-6211,2005 REMCO MCW 16-36 DISC,N/A,9
47-6212,2005 REMCO MCW 16-36 DISC,N/A,18
47-6213,2005 REMCO MCW 16-36 DISC,N/A,5
48-011,PLATE'S (SMALL),N/A,1
48-024,RYAN STEAL PLATE,N/A,1
48-028,PLATE'S (SMALL),N/A,1
48610,TRACKS (FOR D6),N/A,1
49-66-245,BUCKET,N/A,1
49-66-261,BUCKET,N/A,1
49-66261,BUCKET,N/A,1
4M063814,2004 KENWORTH FUEL TRUCK,3391418,1
5,STEEL PLATE,N/A,1
